"GEOID","NAME","avg_year_built","avg_age"
"51077","Grayson County, Virginia",2011.20630372493,10.7936962750716
"51079","Greene County, Virginia",2011.34647112741,10.6535288725941
"51081","Greensville County, Virginia",2011,11
"51083","Halifax County, Virginia",2011.11650485437,10.8834951456311
"51085","Hanover County, Virginia",2011.21374343002,10.7862565699825
"51087","Henrico County, Virginia",2011.39921921412,10.600780785878
"51089","Henry County, Virginia",2011.16666666667,10.8333333333333
"51091","Highland County, Virginia",2011,11
"51093","Isle of Wight County, Virginia",2011.38569357177,10.6143064282262
"51095","James City County, Virginia",2011.31724969843,10.6827503015681
"51097","King and Queen County, Virginia",2011.38,10.6199999999999
"51099","King George County, Virginia",2011.34274458306,10.6572554169402
"51101","King William County, Virginia",2011.00575263663,10.9942473633748
"51103","Lancaster County, Virginia",2011.03578528827,10.9642147117297
"51105","Lee County, Virginia",2011.26612903226,10.733870967742
"51107","Loudoun County, Virginia",2011.18619425779,10.8138057422113
"51109","Louisa County, Virginia",2011.40157480315,10.5984251968505
"51111","Lunenburg County, Virginia",2011,11
"51113","Madison County, Virginia",2011.05896805897,10.941031941032
"51115","Mathews County, Virginia",2012.22093023256,9.7790697674418
"51117","Mecklenburg County, Virginia",2011.42391304348,10.5760869565217
"51119","Middlesex County, Virginia",2011,11
"51121","Montgomery County, Virginia",2011.37154337036,10.6284566296383
"51125","Nelson County, Virginia",2011.85013623978,10.1498637602181
"51127","New Kent County, Virginia",2011.54333008763,10.4566699123661
"51131","Northampton County, Virginia",2011.29203539823,10.7079646017698
"51133","Northumberland County, Virginia",2011,11
"51135","Nottoway County, Virginia",2012.15068493151,9.84931506849307
"51137","Orange County, Virginia",2011.11382113821,10.8861788617887
"51139","Page County, Virginia",2011.8078817734,10.192118226601
"51141","Patrick County, Virginia",2011.23076923077,10.7692307692307
"51143","Pittsylvania County, Virginia",2011.12472160356,10.8752783964364
"51145","Powhatan County, Virginia",2011.48476821192,10.5152317880795
"51147","Prince Edward County, Virginia",2011.17843866171,10.8215613382899
"51149","Prince George County, Virginia",2011.13518197574,10.8648180242635
"51153","Prince William County, Virginia",2011.29859413203,10.7014058679706
"51155","Pulaski County, Virginia",2011.11282051282,10.8871794871795
"51157","Rappahannock County, Virginia",2011,11
"51159","Richmond County, Virginia",2011,11
"51161","Roanoke County, Virginia",2011.31646471846,10.6835352815397
"51163","Rockbridge County, Virginia",2011.87964989059,10.1203501094092
"51165","Rockingham County, Virginia",2011.18413905486,10.8158609451384
"51167","Russell County, Virginia",2011.0945709282,10.9054290718038
"51169","Scott County, Virginia",2011.05678233438,10.9432176656151
"51171","Shenandoah County, Virginia",2011.46380368098,10.5361963190185
"51173","Smyth County, Virginia",2011.05797101449,10.9420289855072
"51175","Southampton County, Virginia",2011.59642147117,10.403578528827
"51177","Spotsylvania County, Virginia",2011.59026525882,10.4097347411796
"51179","Stafford County, Virginia",2011.21510394569,10.7848960543063
"51181","Surry County, Virginia",2011,11
"51183","Sussex County, Virginia",2011.6972972973,10.3027027027026
"51185","Tazewell County, Virginia",2011.04213483146,10.9578651685392
"51187","Warren County, Virginia",2011.5679475164,10.4320524835989
"51191","Washington County, Virginia",2011.10975609756,10.8902439024391
"51193","Westmoreland County, Virginia",2011.16634799235,10.8336520076482
"51195","Wise County, Virginia",2011.10700636943,10.8929936305733
"51197","Wythe County, Virginia",2011.11822660099,10.8817733990147
"51199","York County, Virginia",2011.27535410765,10.7246458923512
"51510","Alexandria city, Virginia",2011.19417475728,10.8058252427184
"51520","Bristol city, Virginia",2011,11
"51530","Buena Vista city, Virginia",2011,11
"51540","Charlottesville city, Virginia",2011.07585644372,10.9241435562806
"51550","Chesapeake city, Virginia",2011.27180221602,10.7281977839752
"51570","Colonial Heights city, Virginia",2012.36585365854,9.63414634146352
"51580","Covington city, Virginia",2011,11
"51590","Danville city, Virginia",2011.5584725537,10.4415274463008
"51595","Emporia city, Virginia",2011,11
"51600","Fairfax city, Virginia",2011.55072463768,10.4492753623188
"51610","Falls Church city, Virginia",2011.21527777778,10.7847222222222
"51620","Franklin city, Virginia",2011,11
"51630","Fredericksburg city, Virginia",2011.11076923077,10.8892307692308
"51640","Galax city, Virginia",2011.73469387755,10.2653061224489
"51650","Hampton city, Virginia",2011.26480836237,10.7351916376306
"51660","Harrisonburg city, Virginia",2011.26753864447,10.732461355529
"51670","Hopewell city, Virginia",2011.51903114187,10.4809688581315
"51678","Lexington city, Virginia",2011,11
"51680","Lynchburg city, Virginia",2011.61780104712,10.3821989528797
"51683","Manassas city, Virginia",2011.55769230769,10.4423076923076
"51685","Manassas Park city, Virginia",2011,11
"51690","Martinsville city, Virginia",2011,11
"51700","Newport News city, Virginia",2011.12774942812,10.8722505718811
"51710","Norfolk city, Virginia",2011.32155430956,10.678445690442
"51720","Norton city, Virginia",NA,NA
"51730","Petersburg city, Virginia",2011.35231316726,10.6476868327402
"51735","Poquoson city, Virginia",2011,11
"51740","Portsmouth city, Virginia",2011.25352112676,10.7464788732395
"51750","Radford city, Virginia",2011,11
"51760","Richmond city, Virginia",2011.26796644752,10.7320335524823
"51770","Roanoke city, Virginia",2011.29373650108,10.7062634989202
"51775","Salem city, Virginia",2011.36194895592,10.6380510440836
"51790","Staunton city, Virginia",2011.0652173913,10.9347826086957
"51800","Suffolk city, Virginia",2011.59044995409,10.4095500459136
"51810","Virginia Beach city, Virginia",2011.13228870554,10.8677112944602
"51820","Waynesboro city, Virginia",2011.8,10.2
"51830","Williamsburg city, Virginia",2011.64285714286,10.3571428571429
"51840","Winchester city, Virginia",2011.432,10.568
